,iso_o,year,conflict_stock_idp_pop_0,conflict_stock_idp_pop_1,conflict_stock_idp_pop_2,conflict_stock_idp_pop_3,conflict_stock_idp_pop_4,conflict_idp_pop_0,conflict_idp_pop_1,conflict_idp_pop_2,conflict_idp_pop_3,conflict_idp_pop_4
156,ARG,2006,0,0,0,0,1,0,0,0,0,1
157,ARG,2007,0,0,0,0,1,0,0,0,0,1
158,ARG,2008,0,0,0,0,1,0,0,0,0,1
159,ARG,2009,0,0,0,0,1,0,0,0,0,1
160,ARG,2010,0,0,0,0,1,0,0,0,0,1
161,ARG,2011,0,0,0,0,1,0,0,0,0,1
162,ARG,2012,0,0,0,0,1,0,0,0,0,1
163,ARG,2013,0,0,0,0,1,0,0,0,0,1
164,ARG,2014,0,0,0,0,1,0,0,0,0,1
165,ARG,2015,0,0,0,0,1,0,0,0,0,1
166,ARG,2016,0,0,0,0,1,0,0,0,0,1
167,ARG,2017,0,0,0,0,1,0,0,0,0,1
168,ARG,2018,0,0,0,0,1,0,0,0,0,1
169,ARG,2019,0,0,0,0,1,0,0,0,0,1
170,ARG,2020,0,0,0,0,1,0,0,0,0,1
171,ARG,2021,0,0,0,0,1,0,0,0,0,1
172,ARG,2022,0,0,0,0,1,0,0,0,0,1
173,ARG,2023,0,0,0,0,1,0,0,0,0,1
174,ARG,2024,0,0,0,0,1,0,0,0,0,1
175,ARM,2000,0,0,0,0,1,0,0,0,0,1
176,ARM,2001,0,0,0,0,1,0,0,0,0,1
177,ARM,2002,0,0,0,0,1,0,0,0,0,1
178,ARM,2003,0,0,0,0,1,0,0,0,0,1
179,ARM,2004,0,0,0,0,1,0,0,0,0,1
180,ARM,2005,0,0,0,0,1,0,0,0,0,1
181,ARM,2006,0,0,0,0,1,0,0,0,0,1
182,ARM,2007,0,0,0,0,1,0,0,0,0,1
183,ARM,2008,0,0,0,0,1,0,0,0,0,1
184,ARM,2009,0,0,1,1,0,0,0,0,1,0
185,ARM,2010,0,0,1,1,0,0,0,0,1,0
186,ARM,2011,0,0,1,1,0,0,0,0,1,0
187,ARM,2012,0,0,1,1,0,0,0,0,1,0
188,ARM,2013,0,0,1,1,0,0,0,0,1,0
189,ARM,2014,0,0,1,1,0,0,0,0,1,0
190,ARM,2015,0,0,1,1,0,0,0,0,1,0
191,ARM,2016,0,0,1,1,0,0,0,0,0,1
192,ARM,2017,0,0,0,0,1,0,0,0,0,1
193,ARM,2018,0,0,0,0,1,0,0,0,0,1
194,ARM,2019,0,0,0,0,1,0,0,0,0,1
