search_country,search_keyword,topic_title,topic_type,topic_mid
Romania,Braila,Brăila,City in Romania,/m/01wbwn
Nigeria,Katsina,Katsina,City in Nigeria,/m/02whq_
Jordan,Amman,Amman,Capital of Jordan,/m/0c7zf
Malaysia,Miri,Miri,City in Malaysia,/m/03x621
Poland,Szczecin,Szczecin,City in Poland,/m/071g6
Afghanistan,Mazar-e Sharif,Mazar-i-Sharif,City in Afghanistan,/m/054t2
Brazil,Santa Maria,Santa Maria,Municipality in Brazil,/m/050s2b
Portugal,Porto,Porto,City in Portugal,/m/0pmn7
Germany,Bonn,Bonn,City in Germany,/m/0150n
United Arab Emirates,Musaffah,Abu Dhabi,Capital of the United Arab Emirates,/m/0gxj
Malaysia,Malacca,Malacca,City in Malaysia,/m/05fsj1
Indonesia,Ambon,Kota Ambon,City in Indonesia,/m/02kstz
China,Hailar,Hulunbuir,City in China,/m/05tzn2
Benin,Djougou,Djougou,City in Benin,/m/050q0y
China,Hotan,Hotan Prefecture,City in China,/m/0gtyg4
Colombia,Monteria,Montería,Municipality in Colombia,/m/04kwrp
Somalia,Kismayo,Kismayo,City in Somalia,/m/04gh99
Syria,Al Hasakah,Al Hasakah,City in Syria,/m/0265p9d
Romania,Iasi,Iași,City in Romania,/m/01fhg3
Belgium,Brussels,Brussels,Capital of Belgium,/m/02rnbv
Libya,Tripoli,Tripoli,Capital of Libya,/m/07p7g
Myanmar,Nay Pyi Taw,Naypyidaw,Capital of Myanmar,/m/06_q2t
Ecuador,Esmeraldas,Esmeraldas,City in Ecuador,/m/06bnl6
Malaysia,Tawau,Tawau,City in Malaysia,/m/05rw96
Tajikistan,Konibodom,Konibodom,City in Tajikistan,/m/034vwt
Romania,Sector 4,Bucharest,Capital of Romania,/m/096gm
Germany,Berlin,Berlin,Capital of Germany,/m/0156q
Nigeria,Ikeja,Ikeja,City in Nigeria,/m/02pxkq
Bosnia and Herzegovina,Banja Luka,Banja Luka,City in Bosnia and Herzegovina,/m/0222kd
France,Toulouse,Toulouse,City in France,/m/0cbhh
Kuwait,Al Ahmadi,Ahmadi,Town in Kuwait,/m/0bmjryq
Myanmar,Pathein,Pathein,City in Myanmar,/m/04xnmv
Lebanon,Beirut,Beirut,Capital of Lebanon,/m/09bjv
Malaysia,Pasir Mas,Pasir Mas,Town in Malaysia,/m/0ft5mw
Egypt,Alexandria,Alexandria,City in Virginia,/m/013h9
Austria,Favoriten,Vienna,Capital of Austria,/m/0fhp9
Zimbabwe,Mutare,Mutare,City in Zimbabwe,/m/02fpfx
India,Dehra Dun,Dehradun,City in India,/m/04bz2f
Sweden,Goeteborg,Gothenburg,City in Sweden,/m/0343_
Saudi Arabia,Al Mubarraz,Al Mubarraz,City in Saudi Arabia,/m/0268z21
Guinea-Bissau,Bissau,Bissau,Capital of Guinea-Bissau,/m/0fn57
Russia,Belgorod,Belgorod,City in Russia,/m/02fdqr
Guyana,Georgetown,Georgetown,City in Texas,/m/010c2g
Republic of Congo,Brazzaville,Brazzaville,Capital of Congo,/m/0dvlx
Poland,Katowice,Katowice,City in Poland,/m/0bld8
Israel,West Jerusalem,Jerusalem,Capital of Israel,/m/0430_
Azerbaijan,Ganja,Ganja,City in Azerbaijan,/m/030pcj
Vietnam,Haiphong,Haiphong,City in Vietnam,/m/02mbtq
Slovak Republic,Kosice,Košice,City in Slovakia,/m/01t4hj
Türkiye,Antakya,Antakya,City in Turkey,/m/0235kc
Afghanistan,Kandahar,Kandahar,City in Afghanistan,/m/04dj2
Saudi Arabia,Khamis Mushait,Khamis Mushait,City in Saudi Arabia,/m/0gk5t
Côte d'Ivoire,Korhogo,Korhogo,City in Côte d’Ivoire,/m/03kr3d
Colombia,Sincelejo,Sincelejo,City in Colombia,/m/06xkz0
Cameroon,Douala,Douala,City in Cameroon,/m/0dbks
South Africa,Emalahleni,Emalahleni,Municipality in South Africa,/m/04ct9zd
Russia,Sochi,Sochi,City in Russia,/m/0m465
Islamic Republic of Iran,Orumiyeh,Urmia,City in Iran,/m/02wwtt
Tanzania,Tanga,Tanga,City in Tanzania,/m/020pbq
Malawi,Lilongwe,Lilongwe,Capital of Malawi,/m/0fq7l
Uzbekistan,Andijon,Andijan,City in Uzbekistan,/m/02p409
Pakistan,Malir Cantonment,Karachi,City in Pakistan,/m/04cjn
Germany,Moenchengladbach,Mönchengladbach,City in Germany,/m/018kdv
Russia,Orsk,Orsk,City in Russia,/m/05gyjt
Democratic Republic of the Congo,Kisangani,Kisangani,City in the Democratic Republic of the Congo,/m/02sw2b
Portugal,Lisbon,Lisbon,Capital of Portugal,/m/04llb
Brazil,Macapa,Macapá,City in Brazil,/m/03dz5q
Belgium,Gent,Ghent,City in Belgium,/m/037n3
Germany,Dresden,Dresden,City in Germany,/m/09b9m
Rwanda,Kigali,Kigali,Capital of Rwanda,/m/0fnhf
Spain,Sevilla,Seville,City in Spain,/m/09f3c
Mozambique,Tete,Tete,City in Mozambique,/m/029nmk
Bolivia,La Paz,La Paz,Capital of Bolivia,/m/0brq4
Jordan,Zarqa,Zarqa,City in Jordan,/m/04dkdf
Honduras,San Pedro Sula,San Pedro Sula,City in Honduras,/m/01dgw0
Kazakhstan,Shymkent,Shymkent,City in Kazakhstan,/m/075dh9
Russia,Smolensk,Smolensk,City in Russia,/m/0ps2m
Qatar,Doha,Doha,Capital of Qatar,/m/0f2yw
Sudan,El Daein,El Daein,City in Sudan,/m/0l8nsln
Colombia,Pasto,Pasto,Municipality in Colombia,/m/03j31b
Belarus,Hrodna,Grodno,City in Belarus,/m/0159ff
Chile,Puente Alto,Puente Alto,City in Chile,/m/0ggcl3
Togo,Lome,Lomé,Capital of Togo,/m/0fqgs
Cameroon,Maroua,Maroua,City in Cameroon,/m/05bf_1
Italy,Florence,Florence,City in Italy,/m/031y2
Nicaragua,Managua,Managua,Capital of Nicaragua,/m/0fqbf
Kazakhstan,Taraz,Taraz,City in Kazakhstan,/m/038gkv
Yemen,Mukalla,Al Mukalla,City in Yemen,/m/07bg2m
Slovenia,Ljubljana,Ljubljana,Capital of Slovenia,/m/0bmm4
Islamic Republic of Iran,Kerman,Kerman,City in California,/m/0qz7g
Pakistan,Kasur,Kasur,City in Pakistan,/m/03_7_n
China,Bayan Nur,Bayannur,City in China,/m/02pql8c
Tajikistan,Kulob,Kulob,City in Tajikistan,/m/028qlx
Kenya,Kakamega,Kakamega,Town in Kenya,/m/03g2sg
Ethiopia,Bahir Dar,Bahir Dar,City in Ethiopia,/m/05knt5
Paraguay,Ciudad del Este,Ciudad del Este,City in Paraguay,/m/01rd8d
Brazil,Cascavel,Cascavel,Municipality in Brazil,/m/04ndxt
Indonesia,Kupang,Kupang,City in Indonesia,/m/04xx5d
Democratic Republic of the Congo,Lubumbashi,Lubumbashi,City in the Democratic Republic of the Congo,/m/02kr5p
Uzbekistan,Fergana,Fergana,City in Uzbekistan,/m/044hb2
