search_country,search_keyword,topic_title,topic_type,topic_mid
Argentina,San Salvador de Jujuy,San Salvador de Jujuy,City in Argentina,/m/02tbhd
Haiti,Croix-des-Bouquets,Port-au-Prince,Capital of Haiti,/m/0fs1v
Spain,Terrassa,Terrassa,City in Spain,/m/0j2q7
Saudi Arabia,Najran,Najran,City in Saudi Arabia,/m/0659tz
Sudan,Kassala,Kassala,Town in Sudan,/m/056gvt
Sudan,Al Qadarif,Al Qadarif,Topic,/m/056bm5
China,Jixi,Jixi,City in China,/m/06nrs4
Cameroon,Garoua,Garoua,City in Cameroon,/m/05bg29
Macao SAR,Macau,Macao,Special Adminstrations Region of China,/m/04thp
El Salvador,San Miguel,San Miguel,City in Argentina,/m/025v7n_
Pakistan,Battagram,Battagram,City in Pakistan,/m/09lrbh
Uzbekistan,Qarshi,Qarshi,City in Uzbekistan,/m/0cb0m
Russia,Kaliningrad,Kaliningrad,City in Russia,/m/049hw
France,Montpellier,Montpellier,City in France,/m/0jq27
Uganda,Kampala,Kampala,Capital of Uganda,/m/0fngy
South Africa,Botshabelo,Botshabelo,Township in South Africa,/m/050wsh
Bolivia,Oruro,Oruro,City in Bolivia,/m/01ct3s
Liberia,Monrovia,Monrovia,City in California,/m/0r0p4
Norway,Bergen,Bergen,City in Norway,/m/0fm7s
Chile,Antofagasta,Antofagasta,City in Chile,/m/03n6h_
China,Shiqi,Zhongshan,City in China,/m/01l3q8
Zambia,Ndola,Ndola,City in Zambia,/m/04gp06
Iraq,Dihok,Duhok,City in Iraq,/m/02qpzy
Türkiye,Karabaglar,İzmir,City in Turkey,/m/02s2xy
Indonesia,Tanjung Pinang,Tanjung Pinang,City in Indonesia,/m/084_rq
Peru,Juliaca,Juliaca,City in Peru,/m/02v7k9
Kazakhstan,Ust-Kamenogorsk,Ust'-Kamenogorsk,City in Kazakhstan,/m/02fgkc
Panama,Panama,Panama City,Capital of Panama,/m/0fr_b
Mozambique,Maputo,Maputo,Capital of Mozambique,/m/0fqby
Venezuela,San Cristobal,San Cristobal,City in Venezuela,/m/02pppx
Ghana,Takoradi,Takoradi,City in Ghana,/m/03l4nv
Algeria,Biskra,Biskra,City in Algeria,/m/05s7mg
Indonesia,Sorong,Sorong,City in Indonesia,/m/0g0xq5
Poland,Krakow,Kraków,City in Poland,/m/0491y
Belgium,Charleroi,Charleroi,City in Belgium,/m/017pgr
